  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 23012  12%                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -14.750  -0.9736   0.07121   0.06828  -0.0262   1.0000   0.0142
 -14.500  -1.0274   0.05711   0.05383  -0.0371   1.0000   0.0141
 -14.250  -1.0557   0.04961   0.04604  -0.0416   1.0000   0.0141
 -14.000  -1.0746   0.04445   0.04063  -0.0434   1.0000   0.0142
 -13.750  -1.0874   0.04060   0.03653  -0.0434   1.0000   0.0144
 -13.500  -1.0957   0.03756   0.03324  -0.0423   1.0000   0.0145
 -13.250  -1.0997   0.03512   0.03057  -0.0405   1.0000   0.0147
 -13.000  -1.1000   0.03314   0.02835  -0.0382   1.0000   0.0148
 -12.750  -1.0973   0.03147   0.02649  -0.0357   1.0000   0.0150
 -12.500  -1.0901   0.03012   0.02504  -0.0336   1.0000   0.0152
 -12.250  -1.0773   0.02908   0.02393  -0.0320   1.0000   0.0154
 -12.000  -1.0620   0.02823   0.02302  -0.0307   1.0000   0.0156
 -11.750  -1.0457   0.02741   0.02213  -0.0294   1.0000   0.0158
 -11.500  -1.0287   0.02657   0.02120  -0.0281   1.0000   0.0161
 -11.250  -1.0114   0.02567   0.02020  -0.0268   1.0000   0.0164
 -11.000  -0.9940   0.02470   0.01911  -0.0255   1.0000   0.0167
 -10.750  -0.9762   0.02371   0.01797  -0.0242   1.0000   0.0171
 -10.500  -0.9579   0.02275   0.01687  -0.0229   1.0000   0.0174
 -10.250  -0.9391   0.02186   0.01584  -0.0215   1.0000   0.0177
 -10.000  -0.9196   0.02108   0.01492  -0.0202   1.0000   0.0180
  -9.750  -0.9013   0.02024   0.01405  -0.0188   1.0000   0.0183
  -9.500  -0.8817   0.01966   0.01345  -0.0174   1.0000   0.0186
  -9.250  -0.8618   0.01916   0.01291  -0.0161   1.0000   0.0190
  -9.000  -0.8419   0.01867   0.01238  -0.0147   1.0000   0.0194
  -8.750  -0.8223   0.01814   0.01179  -0.0132   1.0000   0.0199
  -8.500  -0.8030   0.01758   0.01118  -0.0116   1.0000   0.0203
  -8.250  -0.7839   0.01704   0.01056  -0.0100   1.0000   0.0207
  -8.000  -0.7649   0.01654   0.00999  -0.0083   1.0000   0.0211
  -7.750  -0.7367   0.01592   0.00933  -0.0086   0.9981   0.0216
  -7.500  -0.7043   0.01537   0.00877  -0.0098   0.9954   0.0221
  -7.250  -0.6715   0.01494   0.00833  -0.0110   0.9926   0.0228
  -7.000  -0.6394   0.01450   0.00786  -0.0121   0.9888   0.0236
  -6.750  -0.6061   0.01404   0.00736  -0.0133   0.9855   0.0244
  -6.500  -0.5734   0.01361   0.00687  -0.0144   0.9818   0.0251
  -6.250  -0.5435   0.01312   0.00640  -0.0149   0.9758   0.0259
  -6.000  -0.5105   0.01274   0.00602  -0.0161   0.9711   0.0269
  -5.750  -0.4812   0.01241   0.00568  -0.0163   0.9628   0.0280
  -5.500  -0.4495   0.01210   0.00532  -0.0171   0.9556   0.0293
  -5.250  -0.4211   0.01174   0.00497  -0.0171   0.9451   0.0306
  -5.000  -0.3924   0.01145   0.00468  -0.0172   0.9339   0.0321
  -4.750  -0.3643   0.01119   0.00438  -0.0170   0.9210   0.0337
  -4.500  -0.3374   0.01093   0.00409  -0.0166   0.9056   0.0355
  -4.250  -0.3109   0.01072   0.00386  -0.0161   0.8878   0.0380
  -4.000  -0.2847   0.01055   0.00362  -0.0155   0.8673   0.0405
  -3.750  -0.2591   0.01039   0.00339  -0.0148   0.8410   0.0436
