Ke_delta,Laminar,Re=2000,Re=3000,Re=5000,Re=10000,Re=infinity
0,1.0016,1.0067,1.0055,1.0001,0.9974,1
0.01,0.9740126,0.98498625,0.98420467,0.9791436,0.97653933,0.98027532
0.02,0.9466244,0.963475,0.96310668,0.9583824,0.95587732,0.96074728
0.03,0.9194354,0.94216625,0.94220603,0.9378164,0.93541397,0.94141588
0.04,0.8924456,0.92106,0.92150272,0.9174456,0.91514928,0.92228112
0.05,0.865655,0.90015625,0.90099675,0.89727,0.89508325,0.903343
0.06,0.8390636,0.879455,0.88068812,0.8772896,0.87521588,0.88460152
0.07,0.8126714,0.85895625,0.86057683,0.8575044,0.85554717,0.86605668
0.08,0.7864784,0.83866,0.84066288,0.8379144,0.83607712,0.84770848
0.09,0.7604846,0.81856625,0.82094627,0.8185196,0.81680573,0.82955692
0.1,0.73469,0.798675,0.801427,0.79932,0.797733,0.811602
0.11,0.7090946,0.77898625,0.78210507,0.7803156,0.77885893,0.79384372
0.12,0.6836984,0.7595,0.76298048,0.7615064,0.76018352,0.77628208
0.13,0.6585014,0.74021625,0.74405323,0.7428924,0.74170677,0.75891708
0.14,0.6335036,0.721135,0.72532332,0.7244736,0.72342868,0.74174872
0.15,0.608705,0.70225625,0.70679075,0.70625,0.70534925,0.724777
0.16,0.5841056,0.68358,0.68845552,0.6882216,0.68746848,0.70800192
0.17,0.5597054,0.66510625,0.67031763,0.6703884,0.66978637,0.69142348
0.18,0.5355044,0.646835,0.65237708,0.6527504,0.65230292,0.67504168
0.19,0.5115026,0.62876625,0.63463387,0.6353076,0.63501813,0.65885652
0.2,0.4877,0.6109,0.617088,0.61806,0.617932,0.642868
0.21,0.4640966,0.59323625,0.59973947,0.6010076,0.60104453,0.62707612
0.22,0.4406924,0.575775,0.58258828,0.5841504,0.58435572,0.61148088
0.23,0.4174874,0.55851625,0.56563443,0.5674884,0.56786557,0.59608228
0.24,0.3944816,0.54146,0.54887792,0.5510216,0.55157408,0.58088032
0.25,0.371675,0.52460625,0.53231875,0.53475,0.53548125,0.565875
0.26,0.3490676,0.507955,0.51595692,0.5186736,0.51958708,0.55106632
0.27,0.3266594,0.49150625,0.49979243,0.5027924,0.50389157,0.53645428
0.28,0.3044504,0.47526,0.48382528,0.4871064,0.48839472,0.52203888
0.29,0.2824406,0.45921625,0.46805547,0.4716156,0.47309653,0.50782012
0.3,0.26063,0.443375,0.452483,0.45632,0.457997,0.493798
0.31,0.2390186,0.42773625,0.43710787,0.4412196,0.44309613,0.47997252
0.32,0.2176064,0.4123,0.42193008,0.4263144,0.42839392,0.46634368
0.33,0.1963934,0.39706625,0.40694963,0.4116044,0.41389037,0.45291148
0.34,0.1753796,0.382035,0.39216652,0.3970896,0.39958548,0.43967592
0.35,0.154565,0.36720625,0.37758075,0.38277,0.38547925,0.426637
0.36,0.1339496,0.35258,0.36319232,0.3686456,0.37157168,0.41379472
0.37,0.1135334,0.33815625,0.34900123,0.3547164,0.35786277,0.40114908
0.38,0.0933164,0.323935,0.33500748,0.3409824,0.34435252,0.38870008
0.39,0.0732986,0.30991625,0.32121107,0.3274436,0.33104093,0.37644772
0.4,0.05348,0.2961,0.307612,0.3141,0.317928,0.364392
0.41,0.0338606,0.28248625,0.29421027,0.3009516,0.30501373,0.35253292
0.42,0.0144404,0.269075,0.28100588,0.2879984,0.29229812,0.34087048
0.43,-0.0047806,0.25586625,0.26799883,0.2752404,0.27978117,0.32940468
0.44,-0.0238024,0.24286,0.25518912,0.2626776,0.26746288,0.31813552
0.45,-0.042625,0.23005625,0.24257675,0.25031,0.25534325,0.307063
0.46,-0.0612484,0.217455,0.23016172,0.2381376,0.24342228,0.29618712
0.47,-0.0796726,0.20505625,0.21794403,0.2261604,0.23169997,0.28550788
0.48,-0.0978976,0.19286,0.20592368,0.2143784,0.22017632,0.27502528
0.49,-0.1159234,0.18086625,0.19410067,0.2027916,0.20885133,0.26473932
