Kc_delta,Laminar,Re=2000,Re=3000,Re=5000,Re=10000,Re=infinity
0,1.1798,0.5695,0.5533,0.5338,0.5091,0.4033
0.01,1.18008348,0.56974858,0.55345257,0.5339652,0.50951206,0.4034661
0.02,1.18028192,0.56991232,0.55352228,0.5340468,0.50983624,0.4035484
0.03,1.18039532,0.56999122,0.55350913,0.5340448,0.51007254,0.4035469
0.04,1.18042368,0.56998528,0.55341312,0.5339592,0.51022096,0.4034616
0.05,1.180367,0.5698945,0.55323425,0.53379,0.5102815,0.4032925
0.06,1.18022528,0.56971888,0.55297252,0.5335372,0.51025416,0.4030396
0.07,1.17999852,0.56945842,0.55262793,0.5332008,0.51013894,0.4027029
0.08,1.17968672,0.56911312,0.55220048,0.5327808,0.50993584,0.4022824
0.09,1.17928988,0.56868298,0.55169017,0.5322772,0.50964486,0.4017781
0.1,1.178808,0.568168,0.551097,0.53169,0.509266,0.40119
0.11,1.17824108,0.56756818,0.55042097,0.5310192,0.50879926,0.4005181
0.12,1.17758912,0.56688352,0.54966208,0.5302648,0.50824464,0.3997624
0.13,1.17685212,0.56611402,0.54882033,0.5294268,0.50760214,0.3989229
0.14,1.17603008,0.56525968,0.54789572,0.5285052,0.50687176,0.3979996
0.15,1.175123,0.5643205,0.54688825,0.5275,0.5060535,0.3969925
0.16,1.17413088,0.56329648,0.54579792,0.5264112,0.50514736,0.3959016
0.17,1.17305372,0.56218762,0.54462473,0.5252388,0.50415334,0.3947269
0.18,1.17189152,0.56099392,0.54336868,0.5239828,0.50307144,0.3934684
0.19,1.17064428,0.55971538,0.54202977,0.5226432,0.50190166,0.3921261
0.2,1.169312,0.558352,0.540608,0.52122,0.500644,0.3907
0.21,1.16789468,0.55690378,0.53910337,0.5197132,0.49929846,0.3891901
0.22,1.16639232,0.55537072,0.53751588,0.5181228,0.49786504,0.3875964
0.23,1.16480492,0.55375282,0.53584553,0.5164488,0.49634374,0.3859189
0.24,1.16313248,0.55205008,0.53409232,0.5146912,0.49473456,0.3841576
0.25,1.161375,0.5502625,0.53225625,0.51285,0.4930375,0.3823125
0.26,1.15953248,0.54839008,0.53033732,0.5109252,0.49125256,0.3803836
0.27,1.15760492,0.54643282,0.52833553,0.5089168,0.48937974,0.3783709
0.28,1.15559232,0.54439072,0.52625088,0.5068248,0.48741904,0.3762744
0.29,1.15349468,0.54226378,0.52408337,0.5046492,0.48537046,0.3740941
0.3,1.151312,0.540052,0.521833,0.50239,0.483234,0.37183
0.31,1.14904428,0.53775538,0.51949977,0.5000472,0.48100966,0.3694821
0.32,1.14669152,0.53537392,0.51708368,0.4976208,0.47869744,0.3670504
0.33,1.14425372,0.53290762,0.51458473,0.4951108,0.47629734,0.3645349
0.34,1.14173088,0.53035648,0.51200292,0.4925172,0.47380936,0.3619356
0.35,1.139123,0.5277205,0.50933825,0.48984,0.4712335,0.3592525
0.36,1.13643008,0.52499968,0.50659072,0.4870792,0.46856976,0.3564856
0.37,1.13365212,0.52219402,0.50376033,0.4842348,0.46581814,0.3536349
0.38,1.13078912,0.51930352,0.50084708,0.4813068,0.46297864,0.3507004
0.39,1.12784108,0.51632818,0.49785097,0.4782952,0.46005126,0.3476821
0.4,1.124808,0.513268,0.494772,0.4752,0.457036,0.34458
0.41,1.12168988,0.51012298,0.49161017,0.4720212,0.45393286,0.3413941
0.42,1.11848672,0.50689312,0.48836548,0.4687588,0.45074184,0.3381244
