 
       XFOIL         Version 6.96
  
 Calculated polar for: E63  (4.25%)                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -7.250  -0.2028   0.08959   0.08787  -0.0594   0.9796   0.0047
  -7.000  -0.1929   0.08670   0.08500  -0.0612   0.9767   0.0047
  -6.750  -0.1796   0.08372   0.08202  -0.0640   0.9745   0.0047
  -6.500  -0.1595   0.08001   0.07831  -0.0686   0.9731   0.0047
  -6.250  -0.1362   0.07620   0.07450  -0.0740   0.9722   0.0047
  -6.000  -0.1317   0.07376   0.07208  -0.0740   0.9656   0.0047
  -5.750  -0.1087   0.07003   0.06835  -0.0793   0.9633   0.0047
  -5.500  -0.0813   0.06608   0.06438  -0.0857   0.9618   0.0047
  -5.250  -0.0506   0.06188   0.06017  -0.0929   0.9607   0.0047
  -5.000  -0.0343   0.05882   0.05711  -0.0957   0.9549   0.0047
  -4.750  -0.0027   0.05473   0.05300  -0.1026   0.9523   0.0047
  -4.500   0.0350   0.05032   0.04856  -0.1109   0.9506   0.0047
  -4.250   0.0777   0.04563   0.04383  -0.1201   0.9494   0.0047
  -4.000   0.1245   0.04076   0.03889  -0.1298   0.9486   0.0047
  -3.750   0.1748   0.03575   0.03379  -0.1398   0.9479   0.0047
  -3.500   0.2122   0.03160   0.02951  -0.1455   0.9426   0.0047
  -3.250   0.2788   0.02389   0.02150  -0.1591   0.9421   0.0042
  -3.000   0.3424   0.01753   0.01469  -0.1691   0.9422   0.0036
  -2.750   0.4020   0.01219   0.00869  -0.1768   0.9431   0.0031
  -2.500   0.4479   0.00926   0.00518  -0.1808   0.9431   0.0030
  -2.250   0.4843   0.00793   0.00357  -0.1826   0.9407   0.0034
  -2.000   0.5177   0.00749   0.00307  -0.1838   0.9375   0.0045
  -1.750   0.5545   0.00698   0.00249  -0.1858   0.9352   0.0053
  -1.500   0.5863   0.00654   0.00197  -0.1867   0.9287   0.0074
  -1.250   0.6262   0.00614   0.00145  -0.1892   0.9236   0.0084
  -1.000   0.6652   0.00585   0.00112  -0.1917   0.9159   0.0238
  -0.750   0.7135   0.00553   0.00091  -0.1965   0.9068   0.0783
  -0.500   0.7649   0.00534   0.00076  -0.2020   0.8864   0.1413
  -0.250   0.8030   0.00519   0.00077  -0.2045   0.8565   0.2734
   0.000   0.8309   0.00527   0.00083  -0.2045   0.8189   0.3572
   0.250   0.8544   0.00545   0.00095  -0.2036   0.7737   0.4395
   0.750   0.9003   0.00584   0.00130  -0.2015   0.6792   0.6414
   1.000   0.9237   0.00601   0.00152  -0.2007   0.6323   0.7648
   1.250   0.9386   0.00599   0.00165  -0.1976   0.5874   0.9633
   1.500   0.9619   0.00639   0.00182  -0.1967   0.5359   1.0000
   1.750   0.9857   0.00679   0.00199  -0.1959   0.4867   1.0000
   2.000   1.0097   0.00720   0.00217  -0.1952   0.4377   1.0000
   2.250   1.0338   0.00761   0.00237  -0.1946   0.3919   1.0000
   2.500   1.0576   0.00807   0.00259  -0.1938   0.3409   1.0000
   2.750   1.0814   0.00855   0.00283  -0.1931   0.2905   1.0000
   3.000   1.1056   0.00897   0.00314  -0.1925   0.2500   1.0000
   3.250   1.1292   0.00948   0.00343  -0.1918   0.2032   1.0000
   3.500   1.1521   0.01009   0.00377  -0.1910   0.1495   1.0000
   3.750   1.1760   0.01056   0.00408  -0.1903   0.1143   1.0000
   4.000   1.1995   0.01109   0.00444  -0.1895   0.0792   1.0000
   4.250   1.2212   0.01190   0.00494  -0.1885   0.0293   1.0000
   4.500   1.2450   0.01239   0.00534  -0.1878   0.0135   1.0000
   4.750   1.2682   0.01299   0.00591  -0.1869   0.0017   1.0000
   5.000   1.2927   0.01338   0.00637  -0.1862   0.0014   1.0000
   5.250   1.3169   0.01382   0.00688  -0.1854   0.0013   1.0000
   5.500   1.3406   0.01433   0.00749  -0.1845   0.0012   1.0000
   5.750   1.3636   0.01497   0.00825  -0.1835   0.0012   1.0000
   6.000   1.3859   0.01576   0.00917  -0.1822   0.0012   1.0000
   6.250   1.4070   0.01674   0.01030  -0.1807   0.0012   1.0000
   6.500   1.4270   0.01792   0.01164  -0.1790   0.0012   1.0000
   6.750   1.4458   0.01936   0.01326  -0.1771   0.0012   1.0000
