  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 0015                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.100 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -16.250  -0.9329   0.10524   0.09877  -0.0212   1.0000   0.0569
 -16.000  -0.9892   0.09122   0.08440  -0.0301   1.0000   0.0569
 -15.750  -1.0223   0.08241   0.07530  -0.0351   1.0000   0.0570
 -15.500  -1.0467   0.07555   0.06816  -0.0386   1.0000   0.0573
 -15.250  -1.0656   0.06986   0.06218  -0.0411   1.0000   0.0577
 -15.000  -1.0637   0.06704   0.05934  -0.0416   1.0000   0.0584
 -14.750  -1.0633   0.06414   0.05638  -0.0422   1.0000   0.0591
 -14.500  -1.0648   0.06110   0.05325  -0.0428   1.0000   0.0600
 -14.250  -1.0671   0.05805   0.05007  -0.0433   1.0000   0.0609
 -14.000  -1.0692   0.05509   0.04696  -0.0435   1.0000   0.0619
 -13.750  -1.0705   0.05230   0.04399  -0.0435   1.0000   0.0630
 -13.500  -1.0704   0.04968   0.04117  -0.0432   1.0000   0.0641
 -13.250  -1.0690   0.04726   0.03850  -0.0427   1.0000   0.0653
 -13.000  -1.0614   0.04543   0.03664  -0.0419   1.0000   0.0664
 -12.750  -1.0540   0.04372   0.03491  -0.0411   1.0000   0.0676
 -12.500  -1.0473   0.04203   0.03316  -0.0402   1.0000   0.0691
 -12.250  -1.0403   0.04040   0.03143  -0.0391   1.0000   0.0709
 -12.000  -1.0326   0.03883   0.02969  -0.0379   1.0000   0.0730
 -11.750  -1.0240   0.03735   0.02812  -0.0365   1.0000   0.0749
 -11.500  -1.0157   0.03603   0.02680  -0.0350   1.0000   0.0769
 -11.250  -1.0067   0.03479   0.02551  -0.0334   1.0000   0.0792
 -11.000  -0.9969   0.03359   0.02421  -0.0316   1.0000   0.0819
 -10.750  -0.9872   0.03244   0.02299  -0.0297   1.0000   0.0847
 -10.500  -0.9795   0.03139   0.02195  -0.0274   1.0000   0.0875
 -10.250  -0.9702   0.03044   0.02095  -0.0251   1.0000   0.0912
 -10.000  -0.9593   0.02951   0.01995  -0.0230   1.0000   0.0954
  -9.750  -0.9493   0.02858   0.01905  -0.0207   1.0000   0.0994
  -9.500  -0.9364   0.02776   0.01815  -0.0187   1.0000   0.1047
  -9.250  -0.9249   0.02691   0.01733  -0.0165   1.0000   0.1098
  -9.000  -0.9118   0.02616   0.01655  -0.0144   1.0000   0.1162
  -8.750  -0.8991   0.02541   0.01582  -0.0122   1.0000   0.1228
