
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 16-006                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -8.250  -0.6510   0.09973   0.09304   0.0113   1.0000   0.2722
  -8.000  -0.6434   0.09584   0.08919   0.0133   1.0000   0.2952
  -7.750  -0.6589   0.09338   0.08685   0.0131   1.0000   0.3141
  -7.500  -0.6347   0.08949   0.08292   0.0190   1.0000   0.3646
  -7.250  -0.6193   0.08613   0.07956   0.0239   1.0000   0.4160
  -7.000  -0.6228   0.08394   0.07745   0.0282   1.0000   0.4617
  -6.750  -0.5911   0.07993   0.07338   0.0335   1.0000   0.5275
  -5.750  -0.5447   0.06505   0.05848   0.0390   1.0000   0.6270
  -5.500  -0.5954   0.06222   0.05606   0.0376   1.0000   0.5706
  -5.250  -0.6345   0.05328   0.04694   0.0121   1.0000   0.4005
  -5.000  -0.5820   0.04360   0.03490  -0.0063   1.0000   0.1626
  -4.750  -0.5571   0.03960   0.03009  -0.0049   1.0000   0.1321
  -4.500  -0.5321   0.03700   0.02640  -0.0025   1.0000   0.1144
  -4.250  -0.5083   0.03335   0.02257  -0.0013   1.0000   0.1093
  -4.000  -0.4821   0.03058   0.01923   0.0003   1.0000   0.1047
  -3.750  -0.4542   0.02811   0.01616   0.0016   1.0000   0.1043
  -3.500  -0.4275   0.02613   0.01393   0.0025   1.0000   0.1163
  -3.250  -0.2305   0.01783   0.00851  -0.0213   1.0000   1.0000
  -3.000  -0.2111   0.01755   0.00766  -0.0199   1.0000   1.0000
  -2.750  -0.1924   0.01729   0.00700  -0.0186   1.0000   1.0000
  -2.500  -0.1739   0.01706   0.00635  -0.0172   1.0000   1.0000
  -2.250  -0.1557   0.01686   0.00589  -0.0157   1.0000   1.0000
  -2.000  -0.1377   0.01670   0.00550  -0.0142   1.0000   1.0000
  -1.750  -0.1199   0.01655   0.00517  -0.0126   1.0000   1.0000
  -1.500  -0.1025   0.01643   0.00490  -0.0109   1.0000   1.0000
  -1.250  -0.0852   0.01633   0.00468  -0.0091   1.0000   1.0000
  -1.000  -0.0681   0.01625   0.00451  -0.0073   1.0000   1.0000
  -0.750  -0.0510   0.01619   0.00434  -0.0055   1.0000   1.0000
  -0.500  -0.0340   0.01614   0.00424  -0.0037   1.0000   1.0000
  -0.250  -0.0170   0.01612   0.00418  -0.0018   1.0000   1.0000
   0.000   0.0000   0.01611   0.00415   0.0000   1.0000   1.0000
   0.250   0.0170   0.01612   0.00418   0.0018   1.0000   1.0000
   0.500   0.0340   0.01614   0.00424   0.0037   1.0000   1.0000
   0.750   0.0510   0.01619   0.00434   0.0055   1.0000   1.0000
   1.000   0.0681   0.01625   0.00451   0.0073   1.0000   1.0000
   1.250   0.0852   0.01633   0.00468   0.0091   1.0000   1.0000
   1.500   0.1025   0.01643   0.00490   0.0109   1.0000   1.0000
   1.750   0.1200   0.01655   0.00517   0.0125   1.0000   1.0000
   2.000   0.1377   0.01669   0.00550   0.0142   1.0000   1.0000
   2.250   0.1557   0.01686   0.00588   0.0157   1.0000   1.0000
   2.500   0.1740   0.01706   0.00634   0.0171   1.0000   1.0000
   2.750   0.1925   0.01728   0.00700   0.0185   1.0000   1.0000
   3.000   0.2113   0.01754   0.00765   0.0199   1.0000   1.0000
   3.250   0.2307   0.01782   0.00851   0.0213   1.0000   1.0000
   3.500   0.4272   0.02612   0.01392  -0.0025   0.1164   1.0000
   3.750   0.4539   0.02810   0.01615  -0.0015   0.1043   1.0000
   4.000   0.4817   0.03056   0.01921  -0.0002   0.1047   1.0000
   4.250   0.5080   0.03333   0.02255   0.0014   0.1092   1.0000
   4.500   0.5318   0.03697   0.02637   0.0026   0.1144   1.0000
   4.750   0.5569   0.03959   0.03006   0.0050   0.1320   1.0000
   5.000   0.5818   0.04358   0.03488   0.0064   0.1625   1.0000
   5.250   0.6345   0.05328   0.04694  -0.0121   0.4006   1.0000
   5.500   0.5953   0.06222   0.05605  -0.0376   0.5707   1.0000
   5.750   0.5423   0.06560   0.05903  -0.0411   0.6500   1.0000
   6.750   0.5903   0.07984   0.07329  -0.0335   0.5271   1.0000
   7.000   0.6225   0.08390   0.07741  -0.0283   0.4616   1.0000
   7.250   0.6202   0.08614   0.07958  -0.0240   0.4152   1.0000
   7.500   0.6492   0.09005   0.08354  -0.0174   0.3539   1.0000
   7.750   0.6528   0.09292   0.08637  -0.0140   0.3165   1.0000
   8.000   0.6443   0.09587   0.08921  -0.0134   0.2944   1.0000
   8.250   0.6510   0.09973   0.09303  -0.0116   0.2720   1.0000
   8.500   0.6716   0.10461   0.09794  -0.0080   0.2477   1.0000
   8.750   0.6507   0.10658   0.09978  -0.0108   0.2383   1.0000
   9.000   0.6549   0.11045   0.10361  -0.0103   0.2236   1.0000
   9.250   0.6727   0.11598   0.10915  -0.0077   0.2077   1.0000
   9.500   0.6506   0.11755   0.11058  -0.0118   0.2028   1.0000
   9.750   0.6566   0.12180   0.11481  -0.0115   0.1923   1.0000
  10.000   0.6675   0.12667   0.11967  -0.0104   0.1805   1.0000
  10.250   0.6540   0.12855   0.12145  -0.0136   0.1746   1.0000
  10.500   0.6634   0.13343   0.12643  -0.0130   0.1663   1.0000
