  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 23012  12%                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -17.500  -1.2870   0.06003   0.05694  -0.0359   1.0000   0.0104
 -17.250  -1.3060   0.05353   0.05027  -0.0398   1.0000   0.0105
 -17.000  -1.3171   0.04861   0.04522  -0.0424   1.0000   0.0105
 -16.750  -1.3238   0.04465   0.04113  -0.0441   1.0000   0.0106
 -16.500  -1.3271   0.04138   0.03774  -0.0451   1.0000   0.0107
 -16.250  -1.3279   0.03863   0.03488  -0.0454   1.0000   0.0108
 -16.000  -1.3267   0.03629   0.03243  -0.0453   1.0000   0.0109
 -15.750  -1.3238   0.03428   0.03032  -0.0447   1.0000   0.0110
 -15.500  -1.3195   0.03253   0.02846  -0.0438   1.0000   0.0111
 -15.250  -1.3140   0.03099   0.02682  -0.0426   1.0000   0.0112
 -15.000  -1.3070   0.02964   0.02537  -0.0411   1.0000   0.0113
 -14.750  -1.2989   0.02844   0.02408  -0.0395   1.0000   0.0115
 -14.500  -1.2895   0.02738   0.02293  -0.0377   1.0000   0.0116
 -14.250  -1.2795   0.02640   0.02186  -0.0357   1.0000   0.0118
 -14.000  -1.2681   0.02554   0.02091  -0.0337   1.0000   0.0119
 -13.750  -1.2544   0.02472   0.02000  -0.0320   1.0000   0.0121
 -13.500  -1.2385   0.02391   0.01910  -0.0306   1.0000   0.0122
 -13.250  -1.2221   0.02309   0.01819  -0.0292   1.0000   0.0123
 -13.000  -1.2064   0.02217   0.01720  -0.0278   1.0000   0.0125
 -12.750  -1.1882   0.02143   0.01641  -0.0265   1.0000   0.0127
 -12.500  -1.1688   0.02079   0.01571  -0.0254   1.0000   0.0129
 -12.250  -1.1486   0.02019   0.01507  -0.0244   1.0000   0.0131
 -12.000  -1.1278   0.01963   0.01446  -0.0234   1.0000   0.0133
 -11.750  -1.1069   0.01908   0.01386  -0.0224   1.0000   0.0135
 -11.500  -1.0857   0.01855   0.01328  -0.0214   1.0000   0.0138
 -11.250  -1.0643   0.01803   0.01271  -0.0204   1.0000   0.0140
 -11.000  -1.0428   0.01755   0.01217  -0.0193   1.0000   0.0143
 -10.750  -1.0213   0.01709   0.01166  -0.0183   1.0000   0.0145
 -10.500  -1.0000   0.01666   0.01117  -0.0171   1.0000   0.0147
 -10.250  -0.9789   0.01624   0.01070  -0.0159   1.0000   0.0149
 -10.000  -0.9596   0.01569   0.01011  -0.0143   1.0000   0.0152
  -9.750  -0.9398   0.01521   0.00961  -0.0129   1.0000   0.0155
  -9.500  -0.9196   0.01481   0.00919  -0.0114   1.0000   0.0158
  -9.250  -0.8956   0.01442   0.00878  -0.0108   0.9994   0.0160
  -9.000  -0.8647   0.01402   0.00835  -0.0115   0.9976   0.0164
  -8.750  -0.8333   0.01364   0.00794  -0.0124   0.9957   0.0168
  -8.500  -0.8010   0.01326   0.00754  -0.0135   0.9940   0.0173
  -8.250  -0.7706   0.01291   0.00715  -0.0141   0.9910   0.0176
  -8.000  -0.7394   0.01256   0.00677  -0.0149   0.9876   0.0179
  -7.750  -0.7083   0.01211   0.00631  -0.0157   0.9843   0.0184
  -7.500  -0.6792   0.01176   0.00595  -0.0160   0.9791   0.0189
  -7.250  -0.6490   0.01145   0.00563  -0.0165   0.9736   0.0194
  -7.000  -0.6196   0.01116   0.00533  -0.0168   0.9673   0.0199
  -6.750  -0.5908   0.01090   0.00505  -0.0169   0.9590   0.0206
  -6.500  -0.5631   0.01066   0.00478  -0.0167   0.9489   0.0211
  -6.250  -0.5364   0.01039   0.00448  -0.0164   0.9372   0.0217
  -6.000  -0.5103   0.01015   0.00421  -0.0158   0.9236   0.0224
  -5.750  -0.4843   0.00995   0.00397  -0.0153   0.9082   0.0232
  -5.500  -0.4582   0.00978   0.00375  -0.0147   0.8912   0.0241
  -5.250  -0.4319   0.00963   0.00353  -0.0142   0.8723   0.0249
  -5.000  -0.4057   0.00947   0.00331  -0.0137   0.8512   0.0261
  -4.750  -0.3794   0.00935   0.00313  -0.0132   0.8278   0.0276
  -4.500  -0.3530   0.00928   0.00294  -0.0127   0.7992   0.0290
  -4.250  -0.3271   0.00923   0.00276  -0.0121   0.7595   0.0306
  -3.750  -0.2738   0.00916   0.00247  -0.0114   0.6929   0.0346
  -3.500  -0.2468   0.00910   0.00234  -0.0111   0.6676   0.0375
  -3.250  -0.2194   0.00906   0.00222  -0.0109   0.6431   0.0404
  -3.000  -0.1921   0.00900   0.00211  -0.0107   0.6196   0.0443
  -2.750  -0.1647   0.00898   0.00201  -0.0105   0.5940   0.0477
  -2.500  -0.1373   0.00895   0.00192  -0.0103   0.5686   0.0525
  -2.250  -0.1097   0.00892   0.00184  -0.0102   0.5474   0.0580
  -2.000  -0.0821   0.00889   0.00176  -0.0100   0.5239   0.0649
  -1.500  -0.0274   0.00883   0.00163  -0.0097   0.4762   0.0918
  -1.250  -0.0004   0.00869   0.00155  -0.0095   0.4559   0.1287
  -1.000   0.0219   0.00786   0.00136  -0.0089   0.4355   0.3404
  -0.750   0.0477   0.00764   0.00131  -0.0086   0.4127   0.4169
  -0.500   0.0741   0.00749   0.00129  -0.0083   0.3914   0.4780
  -0.250   0.1005   0.00736   0.00128  -0.0081   0.3729   0.5358
   0.250   0.1539   0.00724   0.00130  -0.0075   0.3339   0.6290
   0.500   0.1806   0.00722   0.00133  -0.0073   0.3158   0.6702
   0.750   0.2068   0.00714   0.00138  -0.0068   0.3013   0.7219
   1.000   0.2328   0.00708   0.00143  -0.0063   0.2880   0.7725
   1.250   0.2600   0.00713   0.00149  -0.0061   0.2744   0.7942
   1.500   0.2873   0.00720   0.00155  -0.0059   0.2620   0.8139
   1.750   0.3147   0.00726   0.00162  -0.0056   0.2522   0.8324
   2.000   0.3421   0.00731   0.00169  -0.0054   0.2442   0.8504
   2.250   0.3692   0.00739   0.00177  -0.0051   0.2353   0.8678
   2.500   0.3965   0.00746   0.00186  -0.0049   0.2284   0.8840
   2.750   0.4237   0.00754   0.00195  -0.0046   0.2221   0.8990
   3.000   0.4508   0.00764   0.00205  -0.0043   0.2160   0.9128
   3.250   0.4782   0.00773   0.00214  -0.0041   0.2106   0.9256
   3.500   0.5056   0.00785   0.00225  -0.0039   0.2051   0.9372
   3.750   0.5336   0.00797   0.00236  -0.0038   0.2003   0.9467
   4.000   0.5616   0.00808   0.00247  -0.0038   0.1958   0.9562
   4.250   0.5916   0.00822   0.00259  -0.0042   0.1904   0.9630
   4.500   0.6201   0.00837   0.00272  -0.0043   0.1855   0.9703
   4.750   0.6520   0.00850   0.00284  -0.0052   0.1812   0.9747
   5.000   0.6828   0.00865   0.00297  -0.0058   0.1760   0.9795
   5.250   0.7128   0.00883   0.00312  -0.0064   0.1706   0.9840
   5.500   0.7457   0.00897   0.00326  -0.0075   0.1667   0.9866
   5.750   0.7782   0.00915   0.00342  -0.0086   0.1613   0.9893
   6.000   0.8101   0.00934   0.00359  -0.0096   0.1561   0.9921
   6.250   0.8418   0.00950   0.00375  -0.0105   0.1515   0.9943
   6.500   0.8744   0.00972   0.00393  -0.0117   0.1450   0.9958
   6.750   0.9066   0.00991   0.00412  -0.0128   0.1400   0.9974
   7.000   0.9384   0.01013   0.00432  -0.0139   0.1341   0.9991
   7.250   0.9665   0.01036   0.00452  -0.0141   0.1286   1.0000
   7.500   0.9893   0.01056   0.00472  -0.0132   0.1226   1.0000
   7.750   1.0119   0.01082   0.00495  -0.0123   0.1160   1.0000
   8.000   1.0349   0.01105   0.00517  -0.0114   0.1104   1.0000
   8.250   1.0575   0.01133   0.00542  -0.0105   0.1045   1.0000
   8.500   1.0805   0.01159   0.00567  -0.0097   0.0988   1.0000
   8.750   1.1031   0.01191   0.00596  -0.0089   0.0922   1.0000
   9.000   1.1252   0.01230   0.00630  -0.0080   0.0833   1.0000
   9.250   1.1479   0.01267   0.00664  -0.0072   0.0757   1.0000
   9.500   1.1707   0.01304   0.00699  -0.0065   0.0697   1.0000
   9.750   1.1932   0.01346   0.00739  -0.0058   0.0637   1.0000
  10.000   1.2159   0.01386   0.00778  -0.0051   0.0582   1.0000
  10.250   1.2382   0.01430   0.00820  -0.0044   0.0528   1.0000
  10.500   1.2599   0.01479   0.00867  -0.0037   0.0475   1.0000
  10.750   1.2818   0.01525   0.00913  -0.0029   0.0431   1.0000
  11.000   1.3034   0.01573   0.00962  -0.0022   0.0395   1.0000
  11.250   1.3243   0.01626   0.01014  -0.0014   0.0359   1.0000
  11.500   1.3454   0.01675   0.01065  -0.0006   0.0330   1.0000
  11.750   1.3653   0.01732   0.01122   0.0003   0.0301   1.0000
  12.000   1.3850   0.01787   0.01180   0.0013   0.0274   1.0000
  12.250   1.4038   0.01847   0.01241   0.0023   0.0252   1.0000
  12.500   1.4222   0.01907   0.01304   0.0034   0.0233   1.0000
  12.750   1.4393   0.01972   0.01372   0.0046   0.0217   1.0000
  13.000   1.4559   0.02034   0.01438   0.0059   0.0204   1.0000
  13.250   1.4687   0.02104   0.01512   0.0078   0.0192   1.0000
  13.500   1.4809   0.02178   0.01591   0.0096   0.0182   1.0000
  13.750   1.4930   0.02255   0.01673   0.0113   0.0173   1.0000
  14.000   1.5036   0.02345   0.01769   0.0130   0.0164   1.0000
  14.250   1.5124   0.02453   0.01881   0.0147   0.0156   1.0000
  14.500   1.5220   0.02560   0.01995   0.0160   0.0150   1.0000
  14.750   1.5303   0.02683   0.02125   0.0173   0.0143   1.0000
  15.000   1.5368   0.02828   0.02277   0.0184   0.0137   1.0000
  15.250   1.5413   0.03001   0.02458   0.0192   0.0132   1.0000
  15.500   1.5442   0.03203   0.02668   0.0198   0.0127   1.0000
  15.750   1.5478   0.03414   0.02888   0.0200   0.0125   1.0000
  16.000   1.5494   0.03662   0.03146   0.0198   0.0122   1.0000
  16.250   1.5486   0.03952   0.03446   0.0193   0.0119   1.0000
  16.500   1.5451   0.04294   0.03800   0.0183   0.0117   1.0000
  16.750   1.5384   0.04697   0.04214   0.0168   0.0115   1.0000
  17.000   1.5278   0.05171   0.04701   0.0149   0.0113   1.0000
  17.250   1.5126   0.05727   0.05270   0.0125   0.0112   1.0000
  17.500   1.4922   0.06371   0.05930   0.0096   0.0111   1.0000
  17.750   1.4664   0.07111   0.06686   0.0063   0.0111   1.0000
  18.000   1.4358   0.07935   0.07526   0.0026   0.0111   1.0000
  18.250   1.4015   0.08836   0.08443  -0.0015   0.0112   1.0000
  18.500   1.3663   0.09763   0.09387  -0.0057   0.0112   1.0000
