  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 65(2)-215                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -17.000  -0.8538   0.09604   0.09309  -0.0417   1.0000   0.0126
 -16.750  -0.9001   0.08247   0.07923  -0.0501   1.0000   0.0125
 -16.500  -0.9194   0.07520   0.07178  -0.0544   1.0000   0.0126
 -16.250  -0.9326   0.06947   0.06592  -0.0575   1.0000   0.0126
 -16.000  -0.9374   0.06539   0.06175  -0.0596   1.0000   0.0128
 -15.750  -0.9494   0.06055   0.05676  -0.0618   1.0000   0.0128
 -15.500  -0.9571   0.05659   0.05265  -0.0632   1.0000   0.0129
 -15.250  -0.9628   0.05310   0.04903  -0.0642   1.0000   0.0130
 -15.000  -0.9632   0.05047   0.04631  -0.0649   1.0000   0.0132
 -14.750  -0.9682   0.04735   0.04305  -0.0653   1.0000   0.0133
 -14.500  -0.9698   0.04472   0.04029  -0.0654   1.0000   0.0134
 -14.250  -0.9701   0.04230   0.03773  -0.0652   1.0000   0.0135
 -14.000  -0.9677   0.04026   0.03558  -0.0650   1.0000   0.0138
 -13.750  -0.9666   0.03802   0.03318  -0.0644   1.0000   0.0139
 -13.500  -0.9624   0.03620   0.03123  -0.0638   1.0000   0.0142
 -13.250  -0.9569   0.03451   0.02941  -0.0631   1.0000   0.0144
 -13.000  -0.9495   0.03305   0.02782  -0.0623   1.0000   0.0147
 -12.750  -0.9416   0.03161   0.02624  -0.0614   1.0000   0.0149
 -12.500  -0.9322   0.03036   0.02487  -0.0604   1.0000   0.0151
 -12.250  -0.9225   0.02909   0.02348  -0.0594   1.0000   0.0153
 -12.000  -0.9133   0.02771   0.02203  -0.0582   1.0000   0.0156
 -11.750  -0.9026   0.02664   0.02091  -0.0570   1.0000   0.0158
 -11.500  -0.8729   0.02546   0.01966  -0.0596   0.9665   0.0161
 -11.250  -0.8414   0.02438   0.01848  -0.0623   0.9500   0.0165
 -11.000  -0.8163   0.02342   0.01741  -0.0635   0.9325   0.0168
 -10.750  -0.7983   0.02278   0.01666  -0.0630   0.9150   0.0173
 -10.500  -0.7833   0.02201   0.01578  -0.0618   0.9001   0.0175
 -10.250  -0.7686   0.02134   0.01499  -0.0604   0.8868   0.0180
 -10.000  -0.7538   0.02068   0.01421  -0.0590   0.8750   0.0183
  -9.750  -0.7391   0.02002   0.01344  -0.0575   0.8646   0.0186
  -9.500  -0.7242   0.01942   0.01273  -0.0560   0.8546   0.0189
  -9.250  -0.7098   0.01879   0.01202  -0.0543   0.8453   0.0191
